chr gene skat skato nvar 
2 ACP1 0.00979601455728448 0.0106308114304923 2 1.12992548942566
6 FGFR1OP 0.0115736502835017 0.0107316641259988 2 1.99328517913818
2 NOL10 0.106965089643835 0.0107693108650121 3 1.8720805644989
3 ADAMTS9 0.0124494419507643 0.010778944487795 8 1.91056728363037
5 GPBP1 0.0107915480517555 0.0107915480517555 1 1.6102728843689
3 LPP 0.0068411480322423 0.0108559602994227 5 1.99921107292175
3 POGLUT1 0.00884632288573302 0.0108895257090618 3 1.89197444915771
20 PDYN 0.0100389874782221 0.0108910075087381 2 1.79383111000061
6 GPR31 0.00914630040460713 0.0109531668571936 4 1.48890948295593
10 ALOX5 0.0062815560400732 0.0109663173279972 6 1.48379802703857
1 STXBP3 0.0137117941540862 0.0111486367848112 2 1.88497710227966
1 BLZF1 0.0102702176776023 0.0111659450785727 4 1.16734147071838
10 SH3PXD2A 0.00896103655791943 0.0112799237242627 8 1.19862651824951
7 ACTR3C 0.0522343544047367 0.011292326037739 3 1.41855716705322
11 KRTAP5-4 0.0352809311360647 0.0113415395663465 3 1.63915705680847
4 PRSS12 0.00871691635930648 0.0113806278630728 3 2.08290553092957
22 IGLV10-54 0.0082168825518352 0.0113920265129779 2 1.89820456504822
11 LUZP2 0.0104947141878589 0.0114060522197998 3 1.27300381660461
17 PCYT2 0.0140079300613763 0.0114366165554425 2 1.27022552490234
13 SACS 0.371862571637843 0.0115409359656824 18 2.05861043930054
9 DBH 0.00573002114502059 0.011561846665742 9 1.90744423866272
17 TMEM235 0.0118723114215012 0.0116200432315553 2 1.51728367805481
15 FAM214A 0.00889997966806554 0.0117315506535418 7 2.06136250495911
1 THAP3 0.00925984101626042 0.011736748610193 4 1.28959918022156
19 LRP3 0.0208509187624193 0.0117725725013935 3 1.33913898468018
1 NBPF3 0.0205326904422093 0.0119768965070961 2 1.14864206314087
19 ZNF43 0.0723224391893003 0.0119844061040019 4 1.9351122379303
9 FOXD4 0.0194164029953399 0.0120317889474576 3 1.90378427505493
11 KLC2 0.00864981373966389 0.0120379713444879 4 1.58799982070923
5 FAM53C 0.0643419810491267 0.0120646010491285 5 1.90118360519409
17 DLG4 0.00861405981281804 0.0120660591505302 3 1.89050936698914
7 CLEC5A 0.0118723114215012 0.0121468339654471 2 1.41929149627686
12 C12orf57 0.0112334352265792 0.0121469976196366 2 1.73701190948486
10 FOXI2 0.0145133998322422 0.0122211013176131 2 1.17915487289429
3 SENP2 0.0122693301388385 0.0122693301388385 1 1.22609257698059
22 RFPL2 0.00914290268896858 0.0123465918226809 6 1.87530922889709
6 TRDN 0.00658733001014229 0.0123499679443299 7 1.90757536888123
12 ATN1 0.0145867146194798 0.012433219632779 6 1.32204627990723
6 PRR3 0.0124448281916665 0.0124448281916665 1 1.57147932052612
19 FUZ 0.0369891743940592 0.0125003259272904 3 1.68970489501953
11 SLC43A1 0.00792262452263734 0.0125071379177621 3 1.87578892707825
6 MAS1 0.00999453387103643 0.0125248619588544 2 1.93203353881836
3 MAP3K13 0.0125565146108956 0.0125565146108956 1 1.78480935096741
5 CCDC69 0.0100404497354903 0.01257406295373 5 1.87358427047729
4 GABRB1 0.0439465630440024 0.0125836677072451 2 1.98149800300598
13 COG3 0.0096481435289307 0.0126209229107761 5 1.93022751808167
19 SIGLEC14 0.012632773884507 0.012632773884507 1 1.60133743286133
16 TERF2 0.0100013706789454 0.0126669895998472 2 1.82290363311768
22 CECR6 0.0105187506942608 0.0126801412831851 2 1.84573650360107
19 GMIP 0.00703254684090434 0.0126985527999872 5 1.57373762130737
11 OR8B4 0.00967325992084281 0.0127021314279774 4 1.90663957595825
19 NAPA 0.0365025425664476 0.0127947318839502 2 1.93487954139709
17 ACACA 0.0312899867784824 0.0128900085438094 4 1.99145913124084
19 ZNF585A 0.00891076513689372 0.0128972060438791 3 1.93454766273499
14 FERMT2 0.0200788320696418 0.0129380579598608 2 1.14464235305786
2 STON1-GTF2A1L 0.00620024427375398 0.0129754874056639 12 1.33971786499023
12 PAH 0.00654388327569584 0.012986516003163 10 1.24063777923584
19 POP4 0.00776926070671288 0.0129957462200931 4 1.89778280258179
1 PLA2G2F 0.0160269580700189 0.0130311492423492 2 1.76781606674194
13 SLITRK5 0.0424184434487449 0.0130314643016182 5 1.8605101108551
11 SLC15A3 0.028555119599344 0.0131084891918365 2 1.12618398666382
21 KRTAP19-2 0.0121108713158692 0.0131086552914882 2 1.90269565582275
7 FAM180A 0.0104057673013287 0.0131116670141809 2 1.87269639968872
11 CSTF3 0.0132529016577039 0.0132529016577039 1 1.49819397926331
3 TMEM45A 0.0123316305197194 0.01333048445213 2 1.91101908683777
22 PNPLA5 0.00953837623732446 0.0133568209144057 2 2.22148847579956
19 PSG1 0.00743232079554182 0.0134858146119623 7 1.41694688796997
6 RRP36 0.177233224883142 0.0134867726880734 3 1.62117958068848
1 TMEM79 0.00970093810714937 0.0135219474587708 3 1.70658183097839
9 PIGO 0.012518127121084 0.0135557264060138 2 1.25619792938232
11 EHD1 0.0167658985619703 0.0136369315452167 2 1.46690821647644
20 TMX4 0.0126305081308047 0.0136420921988217 2 1.91003847122192
1 SLC45A1 0.038632668121157 0.0136421327512033 4 2.02253437042236
1 CATSPER4 0.011135842662318 0.0137355470157154 2 1.73988223075867
10 HSPA12A 0.00972894599718857 0.0137680236476143 4 1.20453214645386
22 YDJC 0.0145269270546578 0.0138704165091502 4 1.95547366142273
5 TBCA 0.0139169747732328 0.0139169747732328 1 1.89039373397827
7 POM121L12 0.017130609337928 0.0140100808111966 2 1.65788412094116
6 TPBG 0.122164051235843 0.014021626868745 3 1.31235671043396
1 INSRR 0.0100397039410991 0.0141134232904181 5 1.48625540733337
9 VLDLR 0.0195393601853191 0.0142259921550149 3 1.90255951881409
6 TDP2 0.0148060941151982 0.0142339194940367 6 1.35684061050415
12 APAF1 0.0510230768305339 0.0143030363190919 6 1.90917253494263
5 FBXO4 0.0175603131902781 0.0143836870594602 2 1.38100814819336
11 DSCAML1 0.249205281480563 0.0144936442376842 14 2.06298804283142
3 ZNF620 0.0146093493408666 0.0146093493408666 1 1.67624759674072
18 FAM210A 0.0147468040645979 0.0147468040645979 1 1.79825925827026
9 GOLM1 0.00871059185537629 0.0147545210787092 5 2.00266885757446
17 ZNF287 0.0121116182685671 0.0148105944238743 3 1.91941499710083
9 GOLGA1 0.0180415899253678 0.0148453334157784 2 2.04039144515991
22 RANBP1 0.0221169107721914 0.0148930348718231 2 1.72492647171021
1 NFYC 0.0120972252534004 0.0149325021715497 3 1.90139603614807
9 KIAA1161 0.0480853261603321 0.0149400755691768 3 1.98468422889709
8 CRISPLD1 0.0150074428076365 0.0150074428076365 1 1.8104395866394
12 SMCO2 0.0221715798810668 0.0150613055300258 3 1.16787695884705
11 TMEM132A 0.00974431429498515 0.0150825052089292 9 2.10842299461365
6 HLA-G 0.0873932760808337 0.0151102412231207 2 1.91793370246887
16 SLC9A5 0.0719266383520958 0.0152097523738003 3 1.54612946510315
21 KRTAP11-1 0.014123140778378 0.0152348360387123 2 1.84254217147827
6 UBR2 0.0114475470025966 0.0152420704301545 4 1.8005964756012
19 MAP2K2 0.0187843956595329 0.0152559777658862 2 2.09229254722595
17 PRR15L 0.0152657963337175 0.0152657963337175 1 1.89588475227356
16 KLHL36 0.0787955980526774 0.0153116768493892 4 1.89282464981079
1 ECHDC2 0.0189379581847221 0.0153905177328724 2 1.36234045028687
19 KANK3 0.0187477867925845 0.0154629863266245 2 1.77342009544373
7 GIMAP4 0.0192303816956959 0.0154714720857566 3 1.32332062721252
13 RXFP2 0.0119514441226942 0.015628134733531 3 1.94399523735046
12 PARPBP 0.0156981102363435 0.0156981102363435 1 1.80198502540588
20 TOP1 0.0157789353638365 0.0157789353638365 1 1.53520894050598
2 LYG2 0.012993187120381 0.0158094212575236 2 1.84067225456238
19 PLK5 0.100584769283719 0.0158379412125248 4 1.46315360069275
17 KIF1C 0.0151796386668882 0.0158641879330909 6 1.51384997367859
11 C11orf84 0.0127853413928966 0.0158793040938046 2 2.07464289665222
14 PNN 0.0159031705687146 0.0159031705687146 1 1.77468037605286
10 NSMCE4A 0.019539393233206 0.0159034182437326 2 1.75042414665222
5 SIL1 0.191986828959837 0.0159357165603931 5 1.83895230293274
11 ZFPL1 0.0134769065349997 0.0160618014571489 4 1.87167859077454
2 FARSB 0.0197064353420302 0.0161296680974129 2 2.2893340587616
3 CCR1 0.0149064432012356 0.0161500423358087 2 1.87265396118164
12 RPAP3 0.0199025264492219 0.0161941903020384 2 1.33421897888184
1 CEP85 0.0096745850323284 0.0162628444468726 4 1.84231019020081
10 RHOBTB1 0.016071088874336 0.0164230791237552 2 1.81384015083313
2 LRRTM4 0.0109770964409097 0.0164320112980869 3 1.24972629547119
10 EXOSC1 0.0145053471348401 0.0164686517772107 4 1.41432118415833
12 C1RL 0.0573799264114965 0.0165286000640549 5 1.45925259590149
9 OR13C8 0.0165840492720826 0.0165840492720826 1 1.52584266662598
1 OR2G3 0.0755167823686513 0.0166096530292128 3 1.29680514335632
18 SERPINB4 0.0729295977979788 0.0166171572490634 3 1.93854832649231
19 TMEM86B 0.0125184691302448 0.0167451356501384 2 1.86177349090576
7 COL26A1 0.111681352620326 0.0167584852729593 5 1.89365482330322
14 FAM177A1 0.0168625680325948 0.0168625680325948 1 1.86056542396545
22 RGL4 0.0117233278749493 0.0169578029911795 4 2.05278038978577
3 TNK2 0.0407459851111186 0.0169601703882196 20 1.68715238571167
9 IGFBPL1 0.0170030273595221 0.0170030273595221 1 1.2820188999176
4 FAM149A 0.0648757066895985 0.0170361164818159 8 1.92523813247681
11 VSIG2 0.0132251123747202 0.0170380352450352 4 1.9023323059082
20 NDRG3 0.0132592149058766 0.0170738947326685 2 1.96270632743835
20 DEFB132 0.0494849254331046 0.0170805783221279 2 1.93243622779846
12 LARP4 0.0171029745476177 0.0171029745476177 1 1.90901708602905
3 SLC6A11 0.117496530973425 0.0171057844979703 3 1.48530673980713
16 SLC7A6 0.295409520389624 0.0172294251615425 5 1.89127588272095
8 VPS28 0.0210690497875992 0.0172422470812411 2 1.79577565193176
19 AP3D1 0.0140514591309916 0.017277208677361 7 2.07177186012268
14 CPNE6 0.01728946837748 0.01728946837748 1 1.91122603416443
12 ANAPC7 0.0210193707574012 0.0173136166264753 2 1.16195678710938
13 KCTD12 0.0173280544643237 0.0173280544643237 1 1.83013844490051
14 SSTR1 0.0277939359767372 0.0173510963448238 2 1.82993984222412
14 ZFYVE26 0.133809932449238 0.0175495703794498 22 2.22567391395569
3 MKRN2 0.0239814776592181 0.0175956317884792 2 1.87914514541626
15 AVEN 0.0554131122773926 0.0176133235087288 4 2.02207398414612
7 WDR86 0.286618105220671 0.0176138873144615 7 1.20798707008362
6 RSPH9 0.0216808399322304 0.0176299890778691 2 1.20467019081116
3 ADPRH 0.0206980086518428 0.0176653289822665 2 1.95834493637085
18 ZNF532 0.011296195526122 0.0177526503647132 7 1.67853331565857
3 MYLK 0.00865790714764641 0.0177634832445229 11 2.10559606552124
6 HLA-F 0.0213449675439256 0.0177699130629673 3 1.89179182052612
20 ARFGEF2 0.18132865267999 0.0178646984005962 7 1.55791664123535
2 GIGYF2 0.0122669781309222 0.0179142452348919 4 1.8941695690155
1 SUCO 0.0125970625912195 0.0180609794530149 6 1.30548143386841
19 DOT1L 0.0705202470257691 0.0180835448317328 5 1.59643268585205
15 SLC28A1 0.0206865528440907 0.0181279675704926 7 1.91236400604248
4 THEGL 0.014885475967921 0.0181330626301134 3 2.55853295326233
7 KMT2E 0.560821469378609 0.0181954564942113 7 1.20657539367676
4 ANKRD17 0.0159685830475921 0.0182637291814154 2 1.36990070343018
6 GRM1 0.0148388466601026 0.0182753158168211 3 1.91281175613403
19 ADAMTSL5 0.0105464250108746 0.0182782712469354 8 1.22893095016479
7 PUS7 0.016180378088863 0.0183310411154545 4 1.15093970298767
17 WSB1 0.228922573619814 0.0184922048084466 3 1.85573506355286
1 CYB5R1 0.0130834637823458 0.0185844545537445 2 1.22511529922485
4 GYPB 0.0152964475800811 0.0186567364550482 3 1.90271615982056
11 CLP1 0.016364561592422 0.0186796579330368 2 1.91712760925293
3 DTX3L 0.0151228662458078 0.0186900597266407 2 1.8165020942688
11 PAMR1 0.0135376225397779 0.018888818931256 3 1.74752044677734
3 COL6A5 0.0218081328573259 0.018908888473909 21 1.38177180290222
7 TMUB1 0.0153492283420556 0.0189406697575545 2 1.40591931343079
7 MYO1G 0.0147000164844065 0.0190018265436607 4 1.91265559196472
20 PRPF6 0.0160253387369465 0.0190556521571706 2 1.90591621398926
22 CRYBB3 0.0692187870162761 0.0191065399625671 6 1.8883810043335
4 UGT2B11 0.136664768645049 0.0191833090155997 4 1.45844292640686
12 DNAJC22 0.0468794906588547 0.0192083864809443 2 1.98535847663879
7 SEMA3C 0.0234934961597961 0.0192558742452502 2 1.83435893058777
12 KSR2 0.0110807088366956 0.0193129883884021 5 1.15570044517517
12 OR6C3 0.0144860329174169 0.0193530384594111 5 1.89778232574463
7 C7orf71 0.0537171965340125 0.0193978795308477 2 1.90729475021362
7 TFPI2 0.0148597464566442 0.0194233245244361 5 1.6313145160675
16 GTF3C1 0.044182815698531 0.0195829986991914 8 1.91895771026611
19 FXYD3 0.0196043613455377 0.0196043613455377 1 1.34963130950928
17 MRC2 0.013227436357795 0.019650791959316 9 1.22524976730347
14 RNF31 0.0102368976916898 0.0197180312627071 9 1.37368202209473
7 GSTK1 0.165805243060591 0.0198712648214715 4 1.88179850578308
11 OR51T1 0.0320152153167749 0.019915768237793 2 1.64265203475952
17 COASY 0.166476308329897 0.0199441054980883 3 1.37747001647949
22 BCL2L13 0.0476861667299057 0.0199890059169522 3 1.30302691459656
11 LRTOMT 0.0113311644344438 0.0201660420527339 5 1.27442979812622
13 SLITRK1 0.0318899516950421 0.0201930816726317 2 1.85469245910645
15 VPS13C 0.414566422007936 0.0202856543235188 21 1.63328289985657
