gene chr NA skat
CTBS 1 NA 0.0475598574897836
TRIM42 3 NA 0.0260841042979018
RAPSN 11 NA 0.00901403867483068
OR10S1 11 NA 0.00462608184754283
SPTBN4 19 NA 0.00463925745628141
ADRA1B 5 NA 0.00611513573259814
ARHGEF25 12 NA 0.0055604607202658
FBXW9 19 NA 0.0068808660917761
C4BPA 1 NA 0.00507575153194517
COL9A1 6 NA 0.00632853216601086
MAP4K3 2 NA 0.00911658652286099
ACYP1 14 NA 0.00810896126619391
EXO5 1 NA 0.00713072383765298
AHSP 16 NA 0.0071718404427217
TMED8 14 NA 0.0073681973653031
SERPINB7 18 NA 0.00720045962786421
SLC26A7 8 NA 0.0104526876294211
TRIM67 1 NA 0.0116476828652536
CDK17 12 NA 0.010978762476067
VNN2 6 NA 0.00506540668154033
ABCC10 6 NA 0.00388283111883568
APOA5 11 NA 0.00446320795155166
KMT2A 11 NA 0.00405645766384749
ZNF16 8 NA 0.0859694258036199
B3GNT8 19 NA 0.00615236351378608
USP30 12 NA 0.00652448352277443
ROR1 1 NA 0.00421232279286759
ZNF555 19 NA 0.00701194711355691
FPGS 9 NA 0.00963210384964211
IL36RN 2 NA 0.0117969693447502
CCDC117 22 NA 0.0199041867208558
WDR49 3 NA 0.00497259873520014
CXCL10 4 NA 0.00788556038458388
ARHGAP28 18 NA 0.00464846858305195
CEP128 14 NA 0.00449884893856599
CSAD 12 NA 0.0431654147206638
GABRD 1 NA 0.00567865025570661
SBSPON 8 NA 0.0110356140556432
ACMSD 2 NA 0.00557041103098845
ZNF821 16 NA 0.00751574633972702
SLC52A1 17 NA 0.00752100106158459
PDE3A 12 NA 0.00656228877153253
C4orf33 4 NA 0.0075908608096516
OR4K17 14 NA 0.0540373642005081
CDC42BPA 1 NA 0.00591076800294373
IHH 2 NA 0.012908615221993
ILVBL 19 NA 0.00604480225954645
IGLV11-55 22 NA 0.00853650684604093
NME4 16 NA 0.00638800297629397
OR6C65 12 NA 0.00775845870131245
FBXO36 2 NA 0.0287629589745024
IL2RB 22 NA 0.00648703673735372
CCDC28B 1 NA 0.0126834229893556
SIRPB1 20 NA 0.00629032939060719
PBXIP1 1 NA 0.0101681843819022
IGHE 14 NA 0.0139780263316161
NUP133 1 NA 0.00615753182332932
ANO3 11 NA 0.0111937559698405
SYNGR1 22 NA 0.00912330206183898
SPRY4 5 NA 0.00628659616901103
MAP3K1 5 NA 0.00568748414361571
VDAC3 8 NA 0.00939724627779302
NEDD4L 18 NA 0.0064487023746927
PRMT6 1 NA 0.00883276310500918
ARIH2OS 3 NA 0.0115575319504988
PSG7 19 NA 0.00783818798110367
SPATA4 4 NA 0.00998744389328416
RNF39 6 NA 0.00504898008544081
CMTM3 16 NA 0.0088746168280285
ANGPT4 20 NA 0.0919282561892913
FOLR1 11 NA 0.00834544525303197
SLC25A38 3 NA 0.00747108897881402
OR4K14 14 NA 0.00903960427065616
TEX14 17 NA 0.0057285980968195
KDELR3 22 NA 0.00845824777742468
PREB 2 NA 0.0121442522990155
NR1H4 12 NA 0.0108740602926262
SLIRP 14 NA 0.019848766271861
DPPA2 3 NA 0.0122584129120171
TNFAIP1 17 NA 0.00927281034986857
STON1 2 NA 0.00485382922438217
URGCP 7 NA 0.0170661164565453
SMR3A 4 NA 0.0625192748415806
STAR 8 NA 0.0101937956602883
BCL2L14 12 NA 0.00933758268777251
SASH1 6 NA 0.0605213044036844
IL4R 16 NA 0.137592023974092
IGLV2-11 22 NA 0.00727878268794349
IGKV2-30 2 NA 0.0103861015928821
CHAF1A 19 NA 0.005553755883547
COIL 17 NA 0.00958237900115896
PWWP2B 10 NA 0.0081353155042813
GIN1 5 NA 0.00963412039691609
BEGAIN 14 NA 0.0248411394672651
HIST1H1D 6 NA 0.00745326894976205
EIF4E3 3 NA 0.0128635628779384
KLHL38 8 NA 0.00973022812733059
IL25 14 NA 0.0220445812989685
TMEM135 11 NA 0.0130204195848261
ACP1 2 NA 0.00979601455728448
FGFR1OP 6 NA 0.0115736502835017
NOL10 2 NA 0.106965089643835
ADAMTS9 3 NA 0.0124494419507643
GPBP1 5 NA 0.0107915480517555
LPP 3 NA 0.0068411480322423
POGLUT1 3 NA 0.00884632288573302
PDYN 20 NA 0.0100389874782221
GPR31 6 NA 0.00914630040460713
ALOX5 10 NA 0.0062815560400732
STXBP3 1 NA 0.0137117941540862
BLZF1 1 NA 0.0102702176776023
SH3PXD2A 10 NA 0.00896103655791943
ACTR3C 7 NA 0.0522343544047367
KRTAP5-4 11 NA 0.0352809311360647
PRSS12 4 NA 0.00871691635930648
IGLV10-54 22 NA 0.0082168825518352
LUZP2 11 NA 0.0104947141878589
PCYT2 17 NA 0.0140079300613763
SACS 13 NA 0.371862571637843
DBH 9 NA 0.00573002114502059
TMEM235 17 NA 0.0118723114215012
FAM214A 15 NA 0.00889997966806554
THAP3 1 NA 0.00925984101626042
LRP3 19 NA 0.0208509187624193
NBPF3 1 NA 0.0205326904422093
ZNF43 19 NA 0.0723224391893003
FOXD4 9 NA 0.0194164029953399
KLC2 11 NA 0.00864981373966389
FAM53C 5 NA 0.0643419810491267
DLG4 17 NA 0.00861405981281804
CLEC5A 7 NA 0.0118723114215012
C12orf57 12 NA 0.0112334352265792
FOXI2 10 NA 0.0145133998322422
SENP2 3 NA 0.0122693301388385
RFPL2 22 NA 0.00914290268896858
TRDN 6 NA 0.00658733001014229
ATN1 12 NA 0.0145867146194798
PRR3 6 NA 0.0124448281916665
FUZ 19 NA 0.0369891743940592
SLC43A1 11 NA 0.00792262452263734
MAS1 6 NA 0.00999453387103643
MAP3K13 3 NA 0.0125565146108956
CCDC69 5 NA 0.0100404497354903
GABRB1 4 NA 0.0439465630440024
COG3 13 NA 0.0096481435289307
SIGLEC14 19 NA 0.012632773884507
TERF2 16 NA 0.0100013706789454
CECR6 22 NA 0.0105187506942608
GMIP 19 NA 0.00703254684090434
OR8B4 11 NA 0.00967325992084281
NAPA 19 NA 0.0365025425664476
ACACA 17 NA 0.0312899867784824
ZNF585A 19 NA 0.00891076513689372
FERMT2 14 NA 0.0200788320696418
STON1-GTF2A1L 2 NA 0.00620024427375398
PAH 12 NA 0.00654388327569584
POP4 19 NA 0.00776926070671288
PLA2G2F 1 NA 0.0160269580700189
SLITRK5 13 NA 0.0424184434487449
SLC15A3 11 NA 0.028555119599344
KRTAP19-2 21 NA 0.0121108713158692
FAM180A 7 NA 0.0104057673013287
CSTF3 11 NA 0.0132529016577039
TMEM45A 3 NA 0.0123316305197194
PNPLA5 22 NA 0.00953837623732446
PSG1 19 NA 0.00743232079554182
RRP36 6 NA 0.177233224883142
TMEM79 1 NA 0.00970093810714937
PIGO 9 NA 0.012518127121084
EHD1 11 NA 0.0167658985619703
TMX4 20 NA 0.0126305081308047
SLC45A1 1 NA 0.038632668121157
CATSPER4 1 NA 0.011135842662318
HSPA12A 10 NA 0.00972894599718857
YDJC 22 NA 0.0145269270546578
TBCA 5 NA 0.0139169747732328
POM121L12 7 NA 0.017130609337928
TPBG 6 NA 0.122164051235843
INSRR 1 NA 0.0100397039410991
VLDLR 9 NA 0.0195393601853191
TDP2 6 NA 0.0148060941151982
APAF1 12 NA 0.0510230768305339
FBXO4 5 NA 0.0175603131902781
DSCAML1 11 NA 0.249205281480563
ZNF620 3 NA 0.0146093493408666
FAM210A 18 NA 0.0147468040645979
GOLM1 9 NA 0.00871059185537629
ZNF287 17 NA 0.0121116182685671
GOLGA1 9 NA 0.0180415899253678
RANBP1 22 NA 0.0221169107721914
NFYC 1 NA 0.0120972252534004
KIAA1161 9 NA 0.0480853261603321
CRISPLD1 8 NA 0.0150074428076365
SMCO2 12 NA 0.0221715798810668
TMEM132A 11 NA 0.00974431429498515
HLA-G 6 NA 0.0873932760808337
SLC9A5 16 NA 0.0719266383520958
KRTAP11-1 21 NA 0.014123140778378
UBR2 6 NA 0.0114475470025966
MAP2K2 19 NA 0.0187843956595329
PRR15L 17 NA 0.0152657963337175
KLHL36 16 NA 0.0787955980526774
ECHDC2 1 NA 0.0189379581847221
KANK3 19 NA 0.0187477867925845
GIMAP4 7 NA 0.0192303816956959
RXFP2 13 NA 0.0119514441226942
PARPBP 12 NA 0.0156981102363435
TOP1 20 NA 0.0157789353638365
LYG2 2 NA 0.012993187120381
PLK5 19 NA 0.100584769283719
KIF1C 17 NA 0.0151796386668882
C11orf84 11 NA 0.0127853413928966
PNN 14 NA 0.0159031705687146
NSMCE4A 10 NA 0.019539393233206
SIL1 5 NA 0.191986828959837
ZFPL1 11 NA 0.0134769065349997
FARSB 2 NA 0.0197064353420302
CCR1 3 NA 0.0149064432012356
RPAP3 12 NA 0.0199025264492219
CEP85 1 NA 0.0096745850323284
RHOBTB1 10 NA 0.016071088874336
LRRTM4 2 NA 0.0109770964409097
EXOSC1 10 NA 0.0145053471348401
C1RL 12 NA 0.0573799264114965
OR13C8 9 NA 0.0165840492720826
OR2G3 1 NA 0.0755167823686513
SERPINB4 18 NA 0.0729295977979788
TMEM86B 19 NA 0.0125184691302448
COL26A1 7 NA 0.111681352620326
FAM177A1 14 NA 0.0168625680325948
RGL4 22 NA 0.0117233278749493
TNK2 3 NA 0.0407459851111186
IGFBPL1 9 NA 0.0170030273595221
FAM149A 4 NA 0.0648757066895985
VSIG2 11 NA 0.0132251123747202
NDRG3 20 NA 0.0132592149058766
DEFB132 20 NA 0.0494849254331046
LARP4 12 NA 0.0171029745476177
SLC6A11 3 NA 0.117496530973425
SLC7A6 16 NA 0.295409520389624
VPS28 8 NA 0.0210690497875992
AP3D1 19 NA 0.0140514591309916
CPNE6 14 NA 0.01728946837748
ANAPC7 12 NA 0.0210193707574012
KCTD12 13 NA 0.0173280544643237
SSTR1 14 NA 0.0277939359767372
ZFYVE26 14 NA 0.133809932449238
MKRN2 3 NA 0.0239814776592181
AVEN 15 NA 0.0554131122773926
WDR86 7 NA 0.286618105220671
RSPH9 6 NA 0.0216808399322304
ADPRH 3 NA 0.0206980086518428
ZNF532 18 NA 0.011296195526122
MYLK 3 NA 0.00865790714764641
HLA-F 6 NA 0.0213449675439256
ARFGEF2 20 NA 0.18132865267999
GIGYF2 2 NA 0.0122669781309222
SUCO 1 NA 0.0125970625912195
DOT1L 19 NA 0.0705202470257691
SLC28A1 15 NA 0.0206865528440907
THEGL 4 NA 0.014885475967921
KMT2E 7 NA 0.560821469378609
ANKRD17 4 NA 0.0159685830475921
GRM1 6 NA 0.0148388466601026
ADAMTSL5 19 NA 0.0105464250108746
PUS7 7 NA 0.016180378088863
WSB1 17 NA 0.228922573619814
CYB5R1 1 NA 0.0130834637823458
GYPB 4 NA 0.0152964475800811
CLP1 11 NA 0.016364561592422
DTX3L 3 NA 0.0151228662458078
PAMR1 11 NA 0.0135376225397779
COL6A5 3 NA 0.0218081328573259
TMUB1 7 NA 0.0153492283420556
MYO1G 7 NA 0.0147000164844065
PRPF6 20 NA 0.0160253387369465
CRYBB3 22 NA 0.0692187870162761
UGT2B11 4 NA 0.136664768645049
DNAJC22 12 NA 0.0468794906588547
SEMA3C 7 NA 0.0234934961597961
KSR2 12 NA 0.0110807088366956
OR6C3 12 NA 0.0144860329174169
C7orf71 7 NA 0.0537171965340125
TFPI2 7 NA 0.0148597464566442
GTF3C1 16 NA 0.044182815698531
FXYD3 19 NA 0.0196043613455377
MRC2 17 NA 0.013227436357795
RNF31 14 NA 0.0102368976916898
GSTK1 7 NA 0.165805243060591
OR51T1 11 NA 0.0320152153167749
COASY 17 NA 0.166476308329897
BCL2L13 22 NA 0.0476861667299057
LRTOMT 11 NA 0.0113311644344438
SLITRK1 13 NA 0.0318899516950421
VPS13C 15 NA 0.414566422007936
GRWD1 19 NA 0.0248590294537423
RNFT2 12 NA 0.0204490065985544
TSPO2 6 NA 0.0164809138733672
OR8J3 11 NA 0.0250455887622808
TMPRSS9 19 NA 0.0103545389367578
TRRAP 7 NA 0.0327153638524186
THAP7 22 NA 0.0174035735230406
CENPBD1 16 NA 0.0228428049078137
ST3GAL4 11 NA 0.0353515553780709
GSG1 12 NA 0.0132647062975165
DALRD3 3 NA 0.0176751323713525
RIPK1 6 NA 0.0343405013921033
RPL3L 16 NA 0.766392708434709
OPRK1 8 NA 0.0214363992607298
ZFP1 16 NA 0.0181564691041974
PLA2G7 6 NA 0.0173726176863667
FAM81B 5 NA 0.0200369647254372
AUH 9 NA 0.0178419070384471
H2AFY2 10 NA 0.0217157168579292
ZNF740 12 NA 0.0217563422962014
GDF7 2 NA 0.088853028163991
EIF4ENIF1 22 NA 0.212589224107108
CDH2 18 NA 0.0266607248055055
PTGER3 1 NA 0.0472627533710286
GINS4 8 NA 0.0353267285198623
REEP5 5 NA 0.0385202711128972
NDUFAF6 8 NA 0.032548350746691
CCND2 12 NA 0.0954101574766723
PEBP4 8 NA 0.022124744696029
ZNF708 19 NA 0.0520227586610527
RBM12B-AS1 8 NA 0.0221445086683669
RRP7A 22 NA 0.0372556058699745
PRDM10 11 NA 0.0129932158411175
C1orf122 1 NA 0.022172663159423
SCNN1D 1 NA 0.0140155036909039
GRIK5 19 NA 0.0178838247233578
ZNF45 19 NA 0.0197111381176351
MIXL1 1 NA 0.022496025720681
ARHGEF16 1 NA 0.0139344973859471
RASAL2 1 NA 0.0166913830462478
SGK2 20 NA 0.0264622518008421
PPP1R13L 19 NA 0.013086148572702
ZFAND6 15 NA 0.0722364825962377
ELOVL4 6 NA 0.0822484482581483
CCER2 19 NA 0.0227508949914643
CNDP1 18 NA 0.0125569867894521
NOTCH3 19 NA 0.304638135271055
SHISA5 3 NA 0.0166572878514415
DYRK4 12 NA 0.0160863963697719
NCMAP 1 NA 0.0342922144006902
CSGALNACT2 10 NA 0.0229119385225899
GCLC 6 NA 0.0229279793482268
PDHA2 4 NA 0.0308174837944496
LIPM 10 NA 0.275710701502351
RESP18 2 NA 0.0358879159529414
WDFY2 13 NA 0.0230718366438148
ZBTB17 1 NA 0.0276440394195134
RSPH6A 19 NA 0.0145847607249494
CLK1 2 NA 0.0356310767408875
SHISA2 13 NA 0.0194912621178278
COG4 16 NA 0.626493699585406
SLC10A4 4 NA 0.0232280162610479
TFCP2L1 2 NA 0.0282865820133773
PRELID1 5 NA 0.0232578620864126
SDR9C7 12 NA 0.019400097640181
CDK13 7 NA 0.0136971821216109
PCGF5 10 NA 0.0234647349172317
MTMR4 17 NA 0.0289772475157709
STAT3 17 NA 0.0235137185075925
BCL10 1 NA 0.0235449640573977
RNF165 18 NA 0.0235605713820687
XPO4 13 NA 0.0509666407366838
CRIP3 6 NA 0.017716353353907
MRPS18B 6 NA 0.015338584656701
HOXB9 17 NA 0.0236850625885844
TBRG1 11 NA 0.0237625417640768
KCNK2 1 NA 0.0237934636939915
C20orf196 20 NA 0.0237934636939915
ZMYND15 17 NA 0.115104379147567
SLC15A2 3 NA 0.0767705619166353
NDUFC2 11 NA 0.0238243460637836
MYLPF 16 NA 0.0292043667721501
GPR83 11 NA 0.0159445269571802
CXCR4 2 NA 0.0239321255703619
PHLPP1 18 NA 0.0616071507948498
RBBP4 1 NA 0.0239781711479164
GSX2 4 NA 0.0240088201121504
ARSG 17 NA 0.0303945935059072
THOC5 22 NA 0.0993862299092352
GAL 11 NA 0.0575783397341466
FAM72D 1 NA 0.0241310351465043
NDUFC2-KCTD14 11 NA 0.0241614945770236
RMDN2 2 NA 0.0503815501401793
PKNOX2 11 NA 0.0242223014478269
ZNF320 19 NA 0.0166757724228989
ZNF431 19 NA 0.0413789314901297
OR1F1 16 NA 0.0137390143739126
MCM5 22 NA 0.0185603722192577
CENPF 1 NA 0.012029006766835
SCARF1 17 NA 0.0582814772529177
CCSER1 4 NA 0.0135815771164171
EMILIN1 2 NA 0.0190519835462521
FBXL15 10 NA 0.0727489405252199
SHCBP1 16 NA 0.124836989391847
FGF6 12 NA 0.0295162315171221
ISL1 5 NA 0.031075406817378
PCDHB15 5 NA 0.0137172083232979
GYS2 12 NA 0.0370182464187342
SLITRK6 13 NA 0.0192269938169739
ECHS1 10 NA 0.0332910082746399
WEE2 7 NA 0.116845891601613
ITPKB 1 NA 0.0130537248181676
GLTSCR1 19 NA 0.237118548245414
FCHO2 5 NA 0.0207605895287577
SOWAHA 5 NA 0.0167617706639371
IL1RN 2 NA 0.0195930814260315
HIST1H1T 6 NA 0.22792183261976
GNB3 12 NA 0.0489668415812139
OR5G3 11 NA 0.0248940655430091
ZNF112 19 NA 0.0249463019944419
SP5 2 NA 0.0301013419199814
DHX58 17 NA 0.0176306403483775
PLBD1 12 NA 0.0158619807925998
DNAJC11 1 NA 0.0167893695024098
P2RY2 11 NA 0.0213355523317264
IGKV1D-8 2 NA 0.0767705619166353
SLK 10 NA 0.0158986464156458
MRPL50 9 NA 0.0377369871989393
TMEM184A 7 NA 0.020112968503073
AGPAT5 8 NA 0.0194648888978699
HNRNPH1 5 NA 0.031186663118382
RBM26 13 NA 0.0297437630592745
DNAJB9 7 NA 0.0429897049854101
PLEKHM2 1 NA 0.342113942229399
ARHGEF5 7 NA 0.0202370038647802
POLR1B 2 NA 0.0240252045980608
SLC26A10 12 NA 0.0142832611219183
METAP2 12 NA 0.0317427887199772
SMURF2 17 NA 0.068259667658204
ADRA2C 4 NA 0.0214090590374586
ADAM8 10 NA 0.986815693180928
OR2T12 1 NA 0.0974016259608808
ENPP2 8 NA 0.0569355612872521
FAM198B 4 NA 0.0351749467002389
BRI3BP 12 NA 0.0647786753989816
STK16 2 NA 0.0558244328222442
WASF1 6 NA 0.0215492204244634
MYPN 10 NA 0.0147855132148652
ENTPD5 14 NA 0.033418259511693
TIE1 1 NA 0.0225187294610684
CCDC59 12 NA 0.0460497613800375
MSTO1 1 NA 0.0868046151453621
CCL3 17 NA 0.0779330828780269
GPR35 2 NA 0.0152899988187866
MDH2 7 NA 0.0201210568777937
FMO1 1 NA 0.0232049228802536
RIMBP2 12 NA 0.554911630180161
MTMR3 22 NA 0.0192389978152793
C16orf96 16 NA 0.0159996818465942
ARL2 11 NA 0.0319836135159964
KIAA1586 6 NA 0.142535646310495
PRR14L 22 NA 0.0147600221638704
IRX5 16 NA 0.0180912282518443
RFX3 9 NA 0.0450510350241718
CREB3L2 7 NA 0.036206422941117
TMEM80 11 NA 0.0858708842275457
OR10G9 11 NA 0.0155338388682936
NEURL4 17 NA 0.0677686535121935
HAUS8 19 NA 0.0440458085679842
MRPS12 19 NA 0.0273142111895477
ARHGEF17 11 NA 0.0151226458757993
NADK2 5 NA 0.0346621400447693
SPAG1 8 NA 0.0160879279049521
ZNF283 19 NA 0.027349522866677
GGT2 22 NA 0.0340977353529433
COPS4 4 NA 0.0281175958034393
ZFPM1 16 NA 0.028087609299104
DHX33 17 NA 0.151742557300279
OR5H6 3 NA 0.0274788420939391
TSLP 5 NA 0.0274893678342408
RDH12 14 NA 0.0275466696543579
TRAJ20 14 NA 0.0275466696543579
RPUSD2 15 NA 0.0275466696543579
PGP 16 NA 0.0275466696543579
ACBD4 17 NA 0.0275466696543579
TLCD1 17 NA 0.0275466696543579
RIOK3 18 NA 0.0275466696543579
BEND5 1 NA 0.0275466696543579
RGS4 1 NA 0.0275466696543579
TMEM54 1 NA 0.0275466696543579
C20orf85 20 NA 0.0275466696543579
DEFB123 20 NA 0.0275466696543579
MOB1B 4 NA 0.0275466696543579
TMEM150C 4 NA 0.0275466696543579
SPINK6 5 NA 0.0275466696543579
CD164 6 NA 0.0275466696543579
SHH 7 NA 0.0275466696543579
SLC25A25 9 NA 0.0275466696543579
GIGYF1 7 NA 0.0221463205355522
CABS1 4 NA 0.0213061153132986
NXPE4 11 NA 0.0208439028643982
ITGA4 2 NA 0.0180582354823065
BPIFB4 20 NA 0.0167341087420209
SLC35D1 1 NA 0.0277075263905357
ONECUT2 18 NA 0.0456699893503239
ATP7B 13 NA 0.0169815311761283
CCDC180 9 NA 0.0415425054795295
FANCG 9 NA 0.0182497724241961
NEFM 8 NA 0.0220966627314835
ADAMTSL2 9 NA 0.0166040260649018
ANKS3 16 NA 0.0158047894371204
C10orf120 10 NA 0.0211441797554634
SEC23A 14 NA 0.0399092130520445
KRBA2 17 NA 0.0206755185867084
HACE1 6 NA 0.0226319600807603
GPR89A 1 NA 0.0279951993291657
NIT2 3 NA 0.0280605840129662
SFTPA2 10 NA 0.0268071484773321
GTPBP3 19 NA 0.020405620700663
CCDC124 19 NA 0.047300668039908
CUBN 10 NA 0.0978626282314971
IGF2 11 NA 0.0282394558170053
SLC7A5 16 NA 0.0282394558170053
INCA1 17 NA 0.0282394558170053
SDF2 17 NA 0.0282394558170053
GGPS1 1 NA 0.0282394558170053
HLX 1 NA 0.0282394558170053
OCLM 1 NA 0.0282394558170053
IGKV1D-16 2 NA 0.0282394558170053
PPIL3 2 NA 0.0282394558170053
RSAD2 2 NA 0.0282394558170053
C3orf49 3 NA 0.0282394558170053
RASSF1 3 NA 0.0282394558170053
RTN4IP1 6 NA 0.0282394558170053
FAM219A 9 NA 0.0282394558170053
OGN 9 NA 0.0282394558170053
TMBIM4 12 NA 0.0599132117450346
HAS3 16 NA 0.0360747252402661
DDX27 20 NA 0.0219064019709544
SLC18A1 8 NA 0.0154580719869801
IL21R 16 NA 0.0916468919119652
ZNF425 7 NA 0.0381584870676868
TRAV38-1 14 NA 0.0284748950284754
LRIG1 3 NA 0.0144485660025766
C5orf56 5 NA 0.0285060355547341
MRPL23 11 NA 0.0966331392540621
CYP3A7 7 NA 0.0187602994024458
ASB18 2 NA 0.0889072511226003
RAB37 17 NA 0.0444901660823395
AGBL5 2 NA 0.0575993325276647
TMEM144 4 NA 0.0213041091781569
SIGLEC10 19 NA 0.110816055955571
KDM1B 6 NA 0.0239935782538645
ABRA 8 NA 0.0239777341546256
CENPW 6 NA 0.028991334293272
HES4 1 NA 0.0225691156293334
TMEM68 8 NA 0.0420637793896321
METTL13 1 NA 0.0498218196839805
PLA2G12A 4 NA 0.050940765807647
KLK1 19 NA 0.0757482848405046
ADAMTS19 5 NA 0.015925882616805
CHCHD6 3 NA 0.0526751329413925
FABP12 8 NA 0.0293119139643232
HDAC2 6 NA 0.0293405691257045
HUS1B 6 NA 0.0457020418098172
DUOXA1 15 NA 0.0196416142780559
FBXO39 17 NA 0.0216863520974738
SIPA1L1 14 NA 0.194605499245072
PIK3IP1 22 NA 0.0758437465174685
WFIKKN1 16 NA 0.0261215683181545
ALDH4A1 1 NA 0.0898478302327981
FLRT2 14 NA 0.0237523906957009
FOXJ3 1 NA 0.0405129799960254
RGS7 1 NA 0.0298434745362624
LTA4H 12 NA 0.0440458085679842
GPA33 1 NA 0.0223538028192115
CDK5RAP2 9 NA 0.130055801067007
RABGAP1 9 NA 0.145406263752338
ZNF451 6 NA 0.0178708359634663
HSPA2 14 NA 0.0803601544866607
GMPR 6 NA 0.125345407050761
SNRPB 20 NA 0.0302190419386696
LRTM2 12 NA 0.135282111900509
SDF4 1 NA 0.0182584454362216
C5orf52 5 NA 0.102664760466864
C19orf25 19 NA 0.0271263765413184
FCGR2A 1 NA 0.039855892586141
IDUA 4 NA 0.020952078362395
PCDHB13 5 NA 0.0163130255748083
SLC25A47 14 NA 0.0237108752372588
KDR 4 NA 0.0796911917676318
OR5H2 3 NA 0.212615008204548
RBM23 14 NA 0.020269845043183
MUC20 3 NA 0.103364526928083
FFAR1 19 NA 0.0245430851743772
KRT9 17 NA 0.0277434623672673
ANKRD18A 9 NA 0.21811128678543
ZFP69B 1 NA 0.022427408999344
SYNGR4 19 NA 0.0242888541757028
GALNTL5 7 NA 0.0310113538230573
PAICS 4 NA 0.0211531923174489
RASGRP4 19 NA 0.0196355441990777
UTRN 6 NA 0.0161498310587936
BACE2 21 NA 0.0218738562812458
IGDCC4 15 NA 0.017646563087417
SPATA31A6 9 NA 0.0218811535495468
IGHV3-13 14 NA 0.0318628404534057
DENND1B 1 NA 0.165165542711925
PMM2 16 NA 0.0192471241661316
ADH5 4 NA 0.031979023713854
SNX7 1 NA 0.0276000485523295
SF1 11 NA 0.17916501279338
OR8H2 11 NA 0.0266085756687905
