Gene Start (bp)	Associated Gene Name
20216406	IGHD1OR15-1A
33911020	AL138999.1
21852889	RN7SL247P
39981433	NT5C3B
23507018	AP000705.8
33929343	RP11-141M1.3
21901650	MIR320C2
114581673	LINC00454
21944751	RP11-621L6.2
21982117	RP11-621L6.3
34185104	RP11-37L2.1
34231573	RP11-179A7.2
22009469	Y_RNA
22015328	RP11-178F10.1
34403676	RNU5A-4P
34486129	AL161891.1
34656566	VDAC1P12
114586640	LINC00452
34674848	SNORA25
20737094	GOLGA6L6
34922180	RP11-16D22.2
35009587	LINC00457
23526270	AP000705.6
114629487	LINC00565
35120066	RP11-266E6.3
23577511	RNU4-45P
114873044	RASA3-IT1
23582258	AP000705.7
35148341	GAMTP2
115009980	MIR548AR
35499971	RP11-307O13.1
23808610	MAPK6PS2
115039303	MIR4502
35759431	SCAND3P1
115072121	CLCP2
35825207	PHBP13
115095034	LINC01054
21004687	AC012414.1
36068551	AL390071.1
36271661	LINC00445
36841305	RNU6-71P
10862622	IGHV1OR21-1
36929928	AL139377.1
37064215	HIST1H2APS6
37302739	AL136160.1
37314178	GAPDHP34
37316015	TCEAL4P1
37363469	ARL2BPP3
39991937	KLHL10
21040701	POTEB2
37378335	NDE1P2
37423503	SMAD9-AS1
37496676	LAMTOR3P1
37500575	RPL29P28
37512537	EIF4A1P5
37608814	AL138706.1
37740489	RN7SKP1
37794997	RPS12P24
23872924	AP000959.2
38055604	LINC01048
24052992	RN7SL609P
38428989	RNA5SP26
24254903	AP000949.1
38567222	HSPD1P9
24437813	AP001255.2
40009797	KLHL11
38624954	LINC00571
24462350	ZNF299P
39107480	LINC00437
24473545	MSANTD2P1
39150777	LINC00366
24654058	RNU2-55P
39191556	PRDX3P3
24733426	AP000459.4
39353561	RNU6-56P
39364781	AL590007.1
21215823	IGHD5OR15-5B
39395935	FREM2-AS1
39476524	PLA2G12AP2
21216780	IGHD4OR15-4B
39496864	ANKRD26P2
24762579	EEF1A1P1
21217888	IGHD3OR15-3B
39743773	NXT1P1
21220377	IGHD2OR15-2B
40021252	snoU13
40226715	AL512505.1
40238171	MIR4305
24779978	TUBAP
40359552	RNY4P14
40391878	CDKN2AIPNLP3
49280673	SECISBP2L
40430847	AZU1P1
40431272	SNORD116
21223129	IGHD1OR15-1B
40755946	LINC00332
40798762	RPL17P51
40800964	RNY3P9
22011370	DKFZP547L112
40918094	RP11-172E9.2
40981259	RN7SKP2
41025131	LINC00598
41192875	RLIMP1
41301964	MIR320D1
41384902	MIR621
41396432	TPTE2P5
22051853	POTEB
10906201	TPTE
40023160	ACLY
41437735	CYCSP34
41482295	SUGT1P3
41566915	RGS17P1
41675155	MIR3168
24804501	Y_RNA
41696012	RN7SL597P
24849960	AP000459.7
41744836	CALM2P3
25261114	AP000474.1
41754117	snoU13
41773968	MORF4L1P4
25333220	AP000477.2
41861877	RAC1P3
25415572	AP000477.3
22069339	RP11-178F10.2
41928693	RNU6-57P
25527484	AP000470.2
22096847	RP11-178F10.3
41958909	TUBBP2
25676863	AP000469.2
22102237	RP11-178F10.4
42005425	OR7E36P
25801054	AP000476.1
22208146	RP11-449D8.1
42013952	OR7E155P
22253127	RP11-449D8.2
22265736	RAC1P1
42016906	OR7E37P
22269878	RP11-449D8.3
42019427	AL354833.1
22305745	RP11-449D8.5
42020193	AL354833.2
42024148	AL354833.3
42142422	MIR5006
42381813	RN7SL515P
42479254	RNU6-74P
22513451	RP11-958F21.1
42499734	KARSP1
22596398	WBP2P1
42577566	RPS28P8
42617863	RP11-187A9.3
22635564	RP11-958F21.3
42643068	MAPK6PS3
22882090	CTD-2006O16.2
42747126	AL139328.1
23398200	RN7SL97P
42755601	CHCHD2P11
23533180	RP11-737G21.1
42830009	FHP1
23678803	RPS24P18
40086887	TTC25
42943374	FABP3P2
23749724	DHFRP1
43384502	LINC01050
43416550	LINC00428
23784833	NPM1P2
43507994	ZDHHC4P1
14741931	AL050302.1
23835662	FAM60BP
43732767	LINC00400
43968661	RPL36P19
23845973	RP11-25D3.1
44032601	ENOX1-AS2
23879079	U3
44118054	ENOX1-AS1
23928311	RP11-107K17.2
44361727	RP11-168P13.1
23946265	RNU6-1289P
24002959	RP11-107K17.1
14982498	POTED
24166678	AC090206.1
44482850	LINC00284
24179372	CIAPIN1P
40122993	CNP
15051621	AL050303.1
24235706	AQP4-AS1
44542560	DGKZP1
13217497	LDLRAD4
44680514	LINC00390
44716682	SMIM2-AS1
24267585	U3
44720606	SMIM2-IT1
24268075	RP11-17A19.2
44808254	RP11-478K15.6
24402777	RP11-552O4.1
44974386	LINC01071
24411484	RP11-552O4.2
24532165	RP11-526I8.2
45011343	RP11-71C5.2
24805706	RP11-57J16.1
40132691	DNAJC7
45168994	SMARCE1P5
15481134	LIPI
45202705	snoU13
45225948	LINC00407
45373639	LINC00330
45556212	RP11-321C24.1
45576285	RN7SL49P
45634864	RN7SKP3
45697228	7SK
45711997	RNU6-69P
45837825	RP11-290D2.5
45874149	AL138963.1
45910449	SNORA31
45911615	SNORA31
45914174	RP11-290D2.6
15588451	RBM11
22368478	OR4M2
26212864	AP000235.2
40173272	NKIRAS2
22382382	OR4N4
45915480	TPT1-AS1
26258990	AP000402.3
26310745	AP000146.2
22448382	IGHV1OR15-1
22456895	AC010760.1
22472918	IGHV4OR15-8
26403318	AP001342.1
26427848	AP000235.3
15743436	HSPA13
40181828	ZNF385C
45924458	RP11-290D2.3
45964486	RCN1P2
45992297	SLC25A30-AS1
46010256	PPIAP25
46125620	RNA5SP27
22736246	GOLGA6L1
46126998	TIMM9P3
46245980	COX4I1P2
46255225	LINC01055
26467335	7SK
46261683	AKR1B1P4
40257656	DHX58
26499782	AP000233.3
46626941	CPB2-AS1
26541745	AP000233.4
26574521	RNA5SP489
46743594	RN7SL288P
46809805	snoU13
46824077	RN7SKP5
46844212	FAM206BP
46870580	LINC00563
46948536	RNU2-6P
46984589	RNU6-68P
49398268	COPS2
15857549	SAMSN1
46917102	PPP1R2P4
40269360	KAT2A
15964251	AF165138.7
47029270	RP11-189B4.6
47034744	OR7E101P
47064997	COX17P1
40277683	HSPB9
47079253	FKBP1AP3
47426278	HTR2A-AS1
47881217	GNG5P5
48033078	RN7SL700P
48337595	NAP1L4P3
48340775	RPL27AP8
40281228	RAB5C
48399465	RP11-279N8.1
22833395	TUBGCP5
48479464	LINC00444
48504290	LINC00562
48575525	SUCLA2-AS1
39874406	5S_rRNA
48651273	MED4-AS1
39886381	Metazoa_SRP
39993316	Metazoa_SRP
48708494	POLR2KP2
40004770	RP11-156E6.1
48870649	LINC00441
24916343	RP11-739N10.1
48890999	PPP1R26P1
48902220	PCNPP5
49144775	LINC01077
16333556	NRIP1
49151110	LINC00462
24923216	RP11-26N15.2
49326225	AL137118.1
49345264	PSME2P2
24935370	UBA52P9
49504256	AL161421.1
49562051	RNU6-60P
24977916	RP11-612A1.1
49618215	RAD17P2
24998848	RBM22P1
49669527	RNY3P2
49761615	COX7CP1
25032478	PA2G4P3
49784558	OGFOD1P1
25534483	AC015933.2
50063106	SNRPGP14
41028082	RMDN3
26231696	ARIH2P1
50194450	RP11-432M24.4
62399863	PECAM1
26365032	RP11-510D21.1
50243040	AL135901.1
26404616	RP11-510D21.2
50463770	RNY4P30
50464727	CTAGE10P
26628584	RNU6-408P
26675539	AC090349.1
50482770	RNY4P9
26776406	AC105245.1
50526670	AL136123.1
50570551	MIR3613
26836782	CTD-2515C13.1
62929371	RP11-625H11.1
26858474	CTD-2515C13.2
27063293	AC091321.1
27098224	RP11-784B15.1
28293241	RP11-675P14.1
28534786	RP11-25I11.1
28564072	RNU6-857P
28638806	RP11-408H20.1
50601269	DLEU2
28652470	snoU13
26711319	AP001340.1
28681551	RP11-408H20.2
26734135	RPL13AP7
28711419	RP11-408H20.3
26758133	LINC00158
28923331	RP11-534N16.1
26842421	snoU13
26887785	AP000221.1
50623109	MIR16-1
28925325	RNU6-167P
50673467	RPL18P10
26934221	MIR155HG
28962280	Y_RNA
29076608	RP11-650P15.1
50746225	ST13P4
26955082	LINC00515
29122109	RP11-75N4.2
27015801	RNGTTP1
50935546	RPL34P26
27064492	FDX1P2
62526397	MILR1
29249252	RNU6-1002P
50937284	AL138696.1
27135249	AP000226.9
51095069	RP11-175B12.2
29265618	RP11-549B18.1
29298856	RN7SKP44
41056218	GCHFR
29304161	LRRC37A7P
27306373	AP001442.2
29306006	RP11-549B18.3
51381992	DLEU7-AS1
27315359	RNU6-123P
29424351	RP11-210K20.2
51387124	RNA5SP28
27530409	AP001439.2
29462583	RP11-210K20.3
29464821	RP11-210K20.4
27543189	AP000230.1
29517496	RNU6-1050P
51450822	RNASEH2B-AS1
29522538	RP11-326K13.4
27563026	RNU6-926P
29542141	PGDP1
27722099	AP001595.1
29546923	RP11-326K13.2
27750871	AP001596.6
29598792	RP11-53I6.2
29640868	AC009831.1
29655848	RP11-53I6.1
29671258	RP11-53I6.3
29674467	snoU13
62555145	POLG2
29702363	RP11-53I6.4
29756013	RNA5SP453
29775989	RP11-53I6.5
29825909	RP11-344B2.3
29843098	Y_RNA
29867400	RP11-344B2.2
29991471	HNRNPA1P7
30091626	WBP11P1
41060067	DNAJC17
30106105	AC009835.1
13663346	FAM210A
30161491	RP11-386P4.1
51568647	GUCY1B2
17102344	USP25
27765954	AP001597.1
27832222	KB-1466C5.1
28261695	AP001601.2
28326280	MIR4759
28515663	GPX1P2
28731204	AP001604.3
28733483	AP001605.4
51601883	RNA5SP29
51656984	LINC00371
51735859	RPL5P31
51770017	SLMO2P2
62576980	DDX5
51922703	MIR5693
51935701	RP11-24B19.4
51936795	RP11-24B19.3
44259081	ST8SIA5
52026503	INTS6-AS1
18811208	C21orf37
54785613	MIR4752
55043099	U6
52028300	RPS4XP16
52043886	RN7SL320P
52070156	SNRPGP11
52126725	MIR4703
62584096	CEP95
52139548	RNU6-65P
52160560	RNY1P6
52168057	RN7SL413P
52172552	ATP5F1P1
52378433	RP11-327P2.5
52482354	CTAGE3P
52540878	FABP5P2
62385676	AC016489.1
52741844	RP11-248G5.8
62467518	Y_RNA
62502429	hsa-mir-1273e
62539910	AC234063.1
62568883	AC138744.2
62578133	MIR3064
18884700	CXADR
62578574	MIR5047
62608135	AC009994.1
52741844	MRPS31P5
13726659	RNMT
139098179	QSOX2
44388353	PIAS2
52793479	TPTE2P2
49447853	GALK2
139173226	WI2-2610K16.1
139141817	WI2-1959D15.1
18965971	BTG3
28739333	EIF4A1P1
41052795	SUMO2P15
28792699	RPL10P1
28864437	NCSTNP1
29011012	AP001607.1
41128006	RP11-532F12.5
41062159	C15orf62
44165625	EPPIN-WFDC6
29094698	LINC00113
41167511	AC025166.1
50712672	DOCK3
41199009	RP11-540O11.1
29327240	AJ006995.3
41240934	ISCA1P4
29385682	LINC00314
41291472	RP11-540O11.6
41303795	RP11-540O11.7
29420733	AL035610.1
41309005	RP11-540O11.4
51422478	MANF
41401076	CYCSP2
44179792	WFDC8
63334831	TPM1
41455360	FAM92A1P1
41484165	RN7SL497P
51428699	RBM15B
44236578	WFDC9
19161284	C21orf91
41576188	OIP5-AS1
145202919	MROH1
30359002	RP11-57G22.1
30413417	RP11-746B8.1
30534039	RP11-680N20.1
31132087	RP11-258B16.1
31581662	Y_RNA
31802929	RP11-379L18.1
32153951	RP11-115P21.1
32317759	RP11-138H11.1
32399910	AC068506.1
32860831	RP11-158H5.7
32870246	ZNF271
32963318	RP11-322E11.1
33023833	RP11-322E11.5
33175865	RP11-712P20.2
33296334	RP11-873E20.1
91073157	CRTC3
33421723	NRBF2P1
33484781	MIR187
145317005	BOP1
33514051	MIR3929
41099284	ZFYVE19
33531766	RP11-905K4.1
33759959	RP11-49I11.1
33853537	RP11-49I11.2
33858698	RP11-49I11.3
54967427	CSTF1
34222576	SNORD112
34481909	RP11-58G13.1
34814082	RP11-95O2.1
19273580	CHODL
51433298	VPRBP
34823739	RP11-95O2.5
34853669	RP11-797E24.3
35237098	MIR4318
35252652	RP11-19F9.1
36235173	RP11-687D19.1
36596011	RN7SKP182
36613971	RNU6-706P
52908430	RP13-444H2.1
145321463	SCXA
36786888	LINC00669
52974139	RNY4P24
53058296	LINC00345
44258165	WFDC10A
36914836	RPL7AP66
53063128	RP11-78J21.4
41635278	RP11-16O9.2
37256685	MIR5583-1
41740940	RNU6-1169P
22892005	CYFIP1
41849225	TCEB1P2
37258484	RNU6-1242P
37421138	RP11-636O21.1
44277202	WFDC11
53063128	TPTE2P3
41901664	RP11-380D11.2
37646250	RP11-653G8.2
41983783	MIR626
37723890	RPL17P45
42010568	RP11-107F6.4
38052785	RNU7-145P
42062954	RP11-107F6.3
42117297	RP11-23P13.4
44313292	WFDC10B
21878	CT867977.1
39047395	RP11-142I20.1
19641433	TMPRSS15
42144111	RNA5SP393
42158693	MIR4310
78285747	RP11-114H24.6
42184991	RP11-23P13.6
44330655	WFDC13
78330873	MIR1827
78383514	SNORA63
39369127	RP11-188I24.1
42188137	RP11-23P13.7
39399018	AC011225.1
78433585	RP11-285A1.1
42213615	CTD-2382E5.4
44350990	SPINT4
39669276	RP11-115N12.1
42264961	CTD-2382E5.1
78542844	RP11-762H8.3
42298330	CTD-2382E5.2
78573292	RP11-762H8.4
78582869	RP11-762H8.2
145346494	HSF1
78585628	RP11-762H8.1
78674915	RP11-5O23.1
78772399	RP11-650L12.1
78881465	RP11-650L12.2
39739247	LINC00907
78918237	RP11-335K5.2
51579011	RAD54L2
2639041	IDH3B
53191693	MRPS31P4
78952986	RP11-160C18.2
44497455	KATNAL2
44376583	WFDC3
53384179	MIR759
53394632	PPIAP26
53720674	LINC01065
53774116	PCDH8P1
54987168	CASS4
53832212	RN7SL618P
53941980	AL450423.1
78953389	RPL18P11
54389554	LINC00558
79044449	RP11-160C18.4
54689924	LINC00458
79155589	RPL21P116
29488413	AL035610.2
54690611	RP11-168P6.2
79191182	RNU6-415P
42491768	MIR627
79271231	RP11-16K12.1
55014839	RPL13AP25
42500611	RP11-546B15.1
22370633	NCAM2
79406635	AC069082.1
55380002	AL512655.1
29811667	AF131217.1
42605885	RP11-546B15.2
55748589	MIR5007
56573334	HNF4GP1
56788507	SPATA2P1
29911640	LINC00161
57133758	snoU13
79484049	RP11-17L5.4
57459418	RN7SKP6
57747587	PRR20FP
30115530	RNU6-872P
57778513	MTCO2P3
30259602	HSPD1P7
41107650	PPP1R14D
57888873	SLC25A5P4
30274101	THUMPD1P1
30369934	RPL23P2
79502130	MIR184
42640301	RP11-164J13.1
30396576	RP1-100J12.1
79528674	HNRNPCP3
57965305	RPL31P53
30430394	AF129075.5
58565484	RNA5SP30
79631072	AC027811.1
58785831	LINC00374
30500022	RPL12P9
79705700	RP11-358L4.1
30511604	Y_RNA
59101789	RNY4P29
30552747	U3
59102749	CTAGE16P
79851598	RP11-621H8.2
30554348	AF124730.4
145371194	DGAT1
59325181	DNAJA1P1
79960684	RP11-621H8.1
59584466	HMGN2P39
49619159	FAM227B
59645596	POLR3KP1
30565801	LINC00189
80035653	RP11-591L14.2
59836814	RPP40P2
60054204	RNU7-88P
80044031	RP11-591L14.1
60586885	DIAPH3-AS1
60608601	RN7SL375P
60718832	DIAPH3-AS2
13824154	MC5R
60880488	RP11-157P1.4
60761872	RNY4P28
60788486	LINC00434
60907543	MIR4758
60848910	TARDBPP2
61026838	AL354764.1
60928051	RP11-157P1.5
61187742	RNA5SP31
61211022	EIF4A1P6
34318405	SERPINH1P1
61259333	LINC00378
13882043	MC2R
34389941	Y_RNA
61004604	RP5-908M14.5
34478620	RN7SKP24
61363694	RNY3P5
61052926	RP13-379O24.3
34521525	RP11-296L22.8
63413999	LACTB
61390831	RNY4P31
61088965	RP13-379O24.2
61491176	RP11-196P2.1
34546522	RP11-296L22.7
61773932	MIR3169
30594642	GAPDHP14
62334417	AL596329.1
62379283	RAC1P8
61141550	C20orf166-AS1
34568013	CNTFR-AS1
30723955	BACH1-IT1
62501223	RP11-429G17.2
62578226	LINC00358
91260558	BLM
30731323	AP000240.9
61151510	MIR1-1
62798230	LINC01075
34661900	RP11-195F19.30
61162119	MIR133A2
34665662	RP11-195F19.9
61169878	RPL7P3
62895438	LINC01074
39850554	RNA5SP454
41412124	RNU6-443P
62897790	LINC00459
61172797	WI2-87327B8.1
41619436	AC083760.1
26957968	MRPL39
34832292	FAM205B
62902121	RPL32P28
41651548	RNA5SP455
61265033	RP13-30A9.1
41900765	KRT8P5
61265124	RP13-30A9.2
145387965	SCRT1
62980191	SQSTM1P1
41903401	CTC-782O7.1
63246418	LINC00448
61294371	RP11-93B14.5
42256892	RP11-456K23.1
63757234	LINC00376
34889061	FAM205CP
42550047	MIR4319
14057456	ZNF519
64241814	LINC00395
42710530	RP11-846C15.2
61326376	LINC00686
64316498	OR7E156P
61363918	RP11-93B14.4
64322132	RP11-473M10.3
57570240	CTSZ
61405480	LINC00659
43003729	RP11-309E23.2
34917172	GLULP4
64357934	RNU6-81P
61431979	OGFR-AS1
145407122	TMEM249
55043647	RTFDC1
64385147	PPP1R2P10
34922181	YWHAZP6
61476490	DPH3P1
35010700	SYF2P2
35049268	RN7SL338P
64402973	RP11-394A14.2
43063310	RP11-749H17.1
61503602	ARF4P2
35096375	RP11-182N22.8
30742340	BACH1-AS1
35147407	RP11-182N22.7
64411166	OR7E104P
30742944	BACH1-IT2
43087167	RP11-749H17.2
61640735	RP11-305P22.9
64411428	RP11-394A14.4
80050891	RP11-38G5.3
43226118	RP11-116O18.1
30761707	snoU13
64549584	NFYAP1
30868367	BACH1-IT3
80109691	RNU6-667P
43249332	RP11-116O18.3
41136216	SPINT1
64560504	LINC00355
31029726	RP11-313P22.1
80124808	RP11-38G5.2
61665569	LINC00029
80135889	RP11-38G5.4
43368495	RP11-618K16.4
65532229	LGMNP1
43569619	RN7SKP26
31120494	GRIK1-AS1
80236840	RP11-81A1.3
61669363	LINC01056
43608272	RP11-8H2.1
43656970	Y_RNA
80276493	RP11-81A1.8
65883987	STARP1
43701581	RNU6-1278P
61726845	HAR1B
44302938	RP11-742D12.1
80282247	AC015871.1
35406752	ATP8B5P
31462035	AF096876.1
80434400	SNORD112
44336450	RP11-742D12.2
31581469	LINC00307
66362064	HNRNPA3P5
61733483	HAR1A
80458265	RP11-2E17.2
66438305	AL354775.1
31635698	RPL8P2
44383187	RP11-687F6.1
80487826	RP11-2E17.1
66440306	LINC01052
61758847	RP5-963E22.5
44432595	RP11-687F6.4
66540462	MIR548X2
61798149	RP5-963E22.4
66792382	MIR4704
44603732	RP11-49K24.4
61809852	MIR124-3
66843129	TRIM60P19
44632317	RP11-49K24.8
2673524	EBF4
61870131	MIR3196
80555410	LINC00927
66878003	PCDH9-AS1
61918160	MIR4326
67204847	RNU7-87P
61968691	RNU6-994P
67399301	PCDH9-AS2
61991340	RP11-261N11.8
35449745	ZFAND6P1
67551564	PCDH9-AS3
35507561	RPL36AP33
67565018	PCDH9-AS4
35592783	RP11-156G14.6
62079404	RP11-358D14.2
67840977	RPSAP53
35608091	MIR4667
42719789	RNU6-188P
62133640	RP4-697K14.3
35642511	RP11-331F9.3
67946519	LINC00364
42824065	RP11-265N6.1
57594309	TUBB1
35646267	RP11-331F9.4
68364539	BCRP9
62258580	CTD-3184A7.4
42859229	RP11-265N6.2
35657748	RMRP
68406008	NPM1P22
49715293	FGF7
68476487	OR7E111P
42864125	RP11-265N6.3
35671773	RN7SL22P
62376042	RP4-583P15.10
35756709	RP11-112J3.15
