gene chr NA skato
TRDN 6 NA 0.0123499679443299
ATN1 12 NA 0.012433219632779
PRR3 6 NA 0.0124448281916665
FUZ 19 NA 0.0125003259272904
SLC43A1 11 NA 0.0125071379177621
MAS1 6 NA 0.0125248619588544
MAP3K13 3 NA 0.0125565146108956
CCDC69 5 NA 0.01257406295373
GABRB1 4 NA 0.0125836677072451
COG3 13 NA 0.0126209229107761
SIGLEC14 19 NA 0.012632773884507
TERF2 16 NA 0.0126669895998472
CECR6 22 NA 0.0126801412831851
GMIP 19 NA 0.0126985527999872
OR8B4 11 NA 0.0127021314279774
NAPA 19 NA 0.0127947318839502
ACACA 17 NA 0.0128900085438094
ZNF585A 19 NA 0.0128972060438791
FERMT2 14 NA 0.0129380579598608
STON1-GTF2A1L 2 NA 0.0129754874056639
PAH 12 NA 0.012986516003163
POP4 19 NA 0.0129957462200931
PLA2G2F 1 NA 0.0130311492423492
SLITRK5 13 NA 0.0130314643016182
SLC15A3 11 NA 0.0131084891918365
KRTAP19-2 21 NA 0.0131086552914882
FAM180A 7 NA 0.0131116670141809
CSTF3 11 NA 0.0132529016577039
TMEM45A 3 NA 0.01333048445213
PNPLA5 22 NA 0.0133568209144057
PSG1 19 NA 0.0134858146119623
RRP36 6 NA 0.0134867726880734
TMEM79 1 NA 0.0135219474587708
PIGO 9 NA 0.0135557264060138
EHD1 11 NA 0.0136369315452167
TMX4 20 NA 0.0136420921988217
SLC45A1 1 NA 0.0136421327512033
CATSPER4 1 NA 0.0137355470157154
HSPA12A 10 NA 0.0137680236476143
YDJC 22 NA 0.0138704165091502
TBCA 5 NA 0.0139169747732328
POM121L12 7 NA 0.0140100808111966
TPBG 6 NA 0.014021626868745
INSRR 1 NA 0.0141134232904181
VLDLR 9 NA 0.0142259921550149
TDP2 6 NA 0.0142339194940367
APAF1 12 NA 0.0143030363190919
FBXO4 5 NA 0.0143836870594602
DSCAML1 11 NA 0.0144936442376842
ZNF620 3 NA 0.0146093493408666
FAM210A 18 NA 0.0147468040645979
GOLM1 9 NA 0.0147545210787092
ZNF287 17 NA 0.0148105944238743
GOLGA1 9 NA 0.0148453334157784
RANBP1 22 NA 0.0148930348718231
NFYC 1 NA 0.0149325021715497
KIAA1161 9 NA 0.0149400755691768
CRISPLD1 8 NA 0.0150074428076365
SMCO2 12 NA 0.0150613055300258
TMEM132A 11 NA 0.0150825052089292
HLA-G 6 NA 0.0151102412231207
SLC9A5 16 NA 0.0152097523738003
KRTAP11-1 21 NA 0.0152348360387123
UBR2 6 NA 0.0152420704301545
MAP2K2 19 NA 0.0152559777658862
PRR15L 17 NA 0.0152657963337175
KLHL36 16 NA 0.0153116768493892
ECHDC2 1 NA 0.0153905177328724
KANK3 19 NA 0.0154629863266245
GIMAP4 7 NA 0.0154714720857566
RXFP2 13 NA 0.015628134733531
PARPBP 12 NA 0.0156981102363435
TOP1 20 NA 0.0157789353638365
LYG2 2 NA 0.0158094212575236
PLK5 19 NA 0.0158379412125248
KIF1C 17 NA 0.0158641879330909
C11orf84 11 NA 0.0158793040938046
PNN 14 NA 0.0159031705687146
NSMCE4A 10 NA 0.0159034182437326
SIL1 5 NA 0.0159357165603931
ZFPL1 11 NA 0.0160618014571489
FARSB 2 NA 0.0161296680974129
CCR1 3 NA 0.0161500423358087
RPAP3 12 NA 0.0161941903020384
CEP85 1 NA 0.0162628444468726
RHOBTB1 10 NA 0.0164230791237552
LRRTM4 2 NA 0.0164320112980869
EXOSC1 10 NA 0.0164686517772107
C1RL 12 NA 0.0165286000640549
OR13C8 9 NA 0.0165840492720826
OR2G3 1 NA 0.0166096530292128
SERPINB4 18 NA 0.0166171572490634
TMEM86B 19 NA 0.0167451356501384
COL26A1 7 NA 0.0167584852729593
FAM177A1 14 NA 0.0168625680325948
RGL4 22 NA 0.0169578029911795
TNK2 3 NA 0.0169601703882196
IGFBPL1 9 NA 0.0170030273595221
FAM149A 4 NA 0.0170361164818159
VSIG2 11 NA 0.0170380352450352
NDRG3 20 NA 0.0170738947326685
DEFB132 20 NA 0.0170805783221279
LARP4 12 NA 0.0171029745476177
SLC6A11 3 NA 0.0171057844979703
SLC7A6 16 NA 0.0172294251615425
VPS28 8 NA 0.0172422470812411
AP3D1 19 NA 0.017277208677361
CPNE6 14 NA 0.01728946837748
ANAPC7 12 NA 0.0173136166264753
KCTD12 13 NA 0.0173280544643237
SSTR1 14 NA 0.0173510963448238
ZFYVE26 14 NA 0.0175495703794498
MKRN2 3 NA 0.0175956317884792
AVEN 15 NA 0.0176133235087288
WDR86 7 NA 0.0176138873144615
RSPH9 6 NA 0.0176299890778691
ADPRH 3 NA 0.0176653289822665
ZNF532 18 NA 0.0177526503647132
MYLK 3 NA 0.0177634832445229
HLA-F 6 NA 0.0177699130629673
ARFGEF2 20 NA 0.0178646984005962
GIGYF2 2 NA 0.0179142452348919
SUCO 1 NA 0.0180609794530149
DOT1L 19 NA 0.0180835448317328
SLC28A1 15 NA 0.0181279675704926
THEGL 4 NA 0.0181330626301134
KMT2E 7 NA 0.0181954564942113
ANKRD17 4 NA 0.0182637291814154
GRM1 6 NA 0.0182753158168211
ADAMTSL5 19 NA 0.0182782712469354
PUS7 7 NA 0.0183310411154545
WSB1 17 NA 0.0184922048084466
CYB5R1 1 NA 0.0185844545537445
GYPB 4 NA 0.0186567364550482
CLP1 11 NA 0.0186796579330368
DTX3L 3 NA 0.0186900597266407
PAMR1 11 NA 0.018888818931256
COL6A5 3 NA 0.018908888473909
TMUB1 7 NA 0.0189406697575545
MYO1G 7 NA 0.0190018265436607
PRPF6 20 NA 0.0190556521571706
CRYBB3 22 NA 0.0191065399625671
UGT2B11 4 NA 0.0191833090155997
DNAJC22 12 NA 0.0192083864809443
SEMA3C 7 NA 0.0192558742452502
KSR2 12 NA 0.0193129883884021
OR6C3 12 NA 0.0193530384594111
C7orf71 7 NA 0.0193978795308477
TFPI2 7 NA 0.0194233245244361
GTF3C1 16 NA 0.0195829986991914
FXYD3 19 NA 0.0196043613455377
MRC2 17 NA 0.019650791959316
RNF31 14 NA 0.0197180312627071
GSTK1 7 NA 0.0198712648214715
OR51T1 11 NA 0.019915768237793
COASY 17 NA 0.0199441054980883
BCL2L13 22 NA 0.0199890059169522
LRTOMT 11 NA 0.0201660420527339
SLITRK1 13 NA 0.0201930816726317
VPS13C 15 NA 0.0202856543235188
GRWD1 19 NA 0.0203784650332347
RNFT2 12 NA 0.0204490065985544
TSPO2 6 NA 0.0207629460228903
OR8J3 11 NA 0.0208286923552597
TMPRSS9 19 NA 0.0208553269536754
TRRAP 7 NA 0.0208883257550166
THAP7 22 NA 0.0209447906192994
CENPBD1 16 NA 0.0209995195384057
ST3GAL4 11 NA 0.0210295908679773
GSG1 12 NA 0.021160831350887
DALRD3 3 NA 0.021259187940165
RIPK1 6 NA 0.0213417531129928
RPL3L 16 NA 0.0213608989524747
OPRK1 8 NA 0.0214363992607298
ZFP1 16 NA 0.0214626379764126
PLA2G7 6 NA 0.0215266256641865
FAM81B 5 NA 0.021553455372556
AUH 9 NA 0.0215995040837631
H2AFY2 10 NA 0.0217157168579292
ZNF740 12 NA 0.0217563422962014
GDF7 2 NA 0.0217669912566825
EIF4ENIF1 22 NA 0.0217744912925142
CDH2 18 NA 0.021883094476969
PTGER3 1 NA 0.0219468922159965
GINS4 8 NA 0.0219548363920374
REEP5 5 NA 0.0219973476886985
NDUFAF6 8 NA 0.0220278426092664
CCND2 12 NA 0.0221215050107899
PEBP4 8 NA 0.022124744696029
ZNF708 19 NA 0.0221369899900801
RBM12B-AS1 8 NA 0.0221445086683669
RRP7A 22 NA 0.0221478854123618
PRDM10 11 NA 0.0221693622462258
C1orf122 1 NA 0.022172663159423
SCNN1D 1 NA 0.0222753372470587
GRIK5 19 NA 0.0224061540829265
ZNF45 19 NA 0.022492579040664
MIXL1 1 NA 0.022496025720681
ARHGEF16 1 NA 0.0225452247041696
RASAL2 1 NA 0.0226222517534225
SGK2 20 NA 0.0226697450348058
PPP1R13L 19 NA 0.0226897462155921
ZFAND6 15 NA 0.0227041498025716
ELOVL4 6 NA 0.0227414207098308
CCER2 19 NA 0.0227508949914643
CNDP1 18 NA 0.0227587937604871
NOTCH3 19 NA 0.0228022615680591
SHISA5 3 NA 0.0228277377246999
DYRK4 12 NA 0.0228425097966067
NCMAP 1 NA 0.0228946634029052
CSGALNACT2 10 NA 0.0229119385225899
GCLC 6 NA 0.0229279793482268
PDHA2 4 NA 0.0230163441164177
LIPM 10 NA 0.023047081100217
RESP18 2 NA 0.023056356437675
WDFY2 13 NA 0.0230718366438148
ZBTB17 1 NA 0.0230861459760705
RSPH6A 19 NA 0.0231379656442164
CLK1 2 NA 0.0231432623866367
SHISA2 13 NA 0.0231564121943355
COG4 16 NA 0.0232078825193941
SLC10A4 4 NA 0.0232280162610479
TFCP2L1 2 NA 0.0232385279951965
PRELID1 5 NA 0.0232578620864126
SDR9C7 12 NA 0.0233127779039385
CDK13 7 NA 0.0233487754491868
PCGF5 10 NA 0.0234647349172317
MTMR4 17 NA 0.0234780588082829
STAT3 17 NA 0.0235137185075925
BCL10 1 NA 0.0235449640573977
RNF165 18 NA 0.0235605713820687
XPO4 13 NA 0.0235733333058923
CRIP3 6 NA 0.0236608508183854
MRPS18B 6 NA 0.0236762590005191
HOXB9 17 NA 0.0236850625885844
TBRG1 11 NA 0.0237625417640768
KCNK2 1 NA 0.0237934636939915
C20orf196 20 NA 0.0237934636939915
ZMYND15 17 NA 0.0238075967409141
SLC15A2 3 NA 0.0238175260886936
NDUFC2 11 NA 0.0238243460637836
MYLPF 16 NA 0.0238379560467211
GPR83 11 NA 0.0238395106865319
CXCR4 2 NA 0.0239321255703619
PHLPP1 18 NA 0.0239393622070326
RBBP4 1 NA 0.0239781711479164
GSX2 4 NA 0.0240088201121504
ARSG 17 NA 0.0240477734010942
THOC5 22 NA 0.0240595555064734
GAL 11 NA 0.0240947076129689
FAM72D 1 NA 0.0241310351465043
NDUFC2-KCTD14 11 NA 0.0241614945770236
RMDN2 2 NA 0.0242128658623285
PKNOX2 11 NA 0.0242223014478269
ZNF320 19 NA 0.024234911209887
ZNF431 19 NA 0.0242514356928998
OR1F1 16 NA 0.0242640301608145
MCM5 22 NA 0.0243262863752394
CENPF 1 NA 0.0243904082141254
SCARF1 17 NA 0.0244047709899233
CCSER1 4 NA 0.0244106806035304
EMILIN1 2 NA 0.0244285271267348
FBXL15 10 NA 0.024453707229604
SHCBP1 16 NA 0.0244657825346288
FGF6 12 NA 0.0244913991944511
ISL1 5 NA 0.024532077926209
PCDHB15 5 NA 0.0245816701458488
GYS2 12 NA 0.0245840407410475
SLITRK6 13 NA 0.0245864053911621
ECHS1 10 NA 0.024603835039453
WEE2 7 NA 0.0247240474851179
ITPKB 1 NA 0.0247256023282143
GLTSCR1 19 NA 0.0247441365263759
FCHO2 5 NA 0.0247516151203997
SOWAHA 5 NA 0.024759662891252
IL1RN 2 NA 0.0248394781686041
HIST1H1T 6 NA 0.0248717623176026
GNB3 12 NA 0.0248846223795851
OR5G3 11 NA 0.0248940655430091
ZNF112 19 NA 0.0249463019944419
SP5 2 NA 0.02495535700691
DHX58 17 NA 0.0249796166942885
PLBD1 12 NA 0.0250024061840353
DNAJC11 1 NA 0.0251187538022627
P2RY2 11 NA 0.025130024404098
IGKV1D-8 2 NA 0.0251844191516731
SLK 10 NA 0.0253000892824264
MRPL50 9 NA 0.0253067323692111
TMEM184A 7 NA 0.025345205260181
AGPAT5 8 NA 0.0253559128279812
HNRNPH1 5 NA 0.0253787293774309
RBM26 13 NA 0.02542399593078
DNAJB9 7 NA 0.0254408653932631
PLEKHM2 1 NA 0.0254573058680394
ARHGEF5 7 NA 0.0255576313482003
POLR1B 2 NA 0.02558929996659
SLC26A10 12 NA 0.0256155140262301
METAP2 12 NA 0.025649582039453
SMURF2 17 NA 0.0257187229975264
ADRA2C 4 NA 0.025767203391988
ADAM8 10 NA 0.0258101603810742
OR2T12 1 NA 0.025851223967629
ENPP2 8 NA 0.0259062357885081
FAM198B 4 NA 0.0259203824393638
BRI3BP 12 NA 0.0259454053226565
STK16 2 NA 0.0259676937108378
WASF1 6 NA 0.0260123907038521
MYPN 10 NA 0.0261091880392835
ENTPD5 14 NA 0.0261216227945604
TIE1 1 NA 0.0261516700986028
CCDC59 12 NA 0.0261538422536511
MSTO1 1 NA 0.0261550492611131
CCL3 17 NA 0.0262135721236925
GPR35 2 NA 0.0263249749704011
MDH2 7 NA 0.0263375926977153
FMO1 1 NA 0.0263973511460791
RIMBP2 12 NA 0.026546491269274
MTMR3 22 NA 0.0265650141949103
C16orf96 16 NA 0.026678278363755
ARL2 11 NA 0.0266904778213387
KIAA1586 6 NA 0.0267394087310288
PRR14L 22 NA 0.0268290226394376
IRX5 16 NA 0.0269076739064983
RFX3 9 NA 0.0269977465883704
CREB3L2 7 NA 0.0270927867639408
TMEM80 11 NA 0.0271105422309781
OR10G9 11 NA 0.027203339993514
NEURL4 17 NA 0.0272385261661313
HAUS8 19 NA 0.0272524921714276
MRPS12 19 NA 0.0273142111895477
ARHGEF17 11 NA 0.0273262065698501
NADK2 5 NA 0.0273338712404794
SPAG1 8 NA 0.0273471414881111
ZNF283 19 NA 0.027349522866677
GGT2 22 NA 0.0273748618363968
COPS4 4 NA 0.0273860092995427
ZFPM1 16 NA 0.027403704155775
DHX33 17 NA 0.0274095173039387
OR5H6 3 NA 0.0274788420939391
TSLP 5 NA 0.0274893678342408
RDH12 14 NA 0.0275466696543579
TRAJ20 14 NA 0.0275466696543579
RPUSD2 15 NA 0.0275466696543579
PGP 16 NA 0.0275466696543579
ACBD4 17 NA 0.0275466696543579
TLCD1 17 NA 0.0275466696543579
RIOK3 18 NA 0.0275466696543579
BEND5 1 NA 0.0275466696543579
RGS4 1 NA 0.0275466696543579
TMEM54 1 NA 0.0275466696543579
C20orf85 20 NA 0.0275466696543579
DEFB123 20 NA 0.0275466696543579
MOB1B 4 NA 0.0275466696543579
TMEM150C 4 NA 0.0275466696543579
SPINK6 5 NA 0.0275466696543579
CD164 6 NA 0.0275466696543579
SHH 7 NA 0.0275466696543579
SLC25A25 9 NA 0.0275466696543579
GIGYF1 7 NA 0.0275887589478706
CABS1 4 NA 0.027594198159771
NXPE4 11 NA 0.0275977118577113
ITGA4 2 NA 0.0276545674618982
BPIFB4 20 NA 0.0276910799386397
SLC35D1 1 NA 0.0277075263905357
ONECUT2 18 NA 0.0277236741993402
ATP7B 13 NA 0.0277347846752066
CCDC180 9 NA 0.027750019936348
FANCG 9 NA 0.027764322465698
NEFM 8 NA 0.0277847541321081
ADAMTSL2 9 NA 0.0277885497945085
ANKS3 16 NA 0.0278179294040597
C10orf120 10 NA 0.0278930161094788
SEC23A 14 NA 0.027896986266938
KRBA2 17 NA 0.0279472726763524
HACE1 6 NA 0.0279807416784407
GPR89A 1 NA 0.0279951993291657
NIT2 3 NA 0.0280605840129662
SFTPA2 10 NA 0.0281276951703848
GTPBP3 19 NA 0.0281933933001647
CCDC124 19 NA 0.0282268526758482
CUBN 10 NA 0.028233357675933
IGF2 11 NA 0.0282394558170053
SLC7A5 16 NA 0.0282394558170053
INCA1 17 NA 0.0282394558170053
SDF2 17 NA 0.0282394558170053
GGPS1 1 NA 0.0282394558170053
HLX 1 NA 0.0282394558170053
OCLM 1 NA 0.0282394558170053
IGKV1D-16 2 NA 0.0282394558170053
PPIL3 2 NA 0.0282394558170053
RSAD2 2 NA 0.0282394558170053
C3orf49 3 NA 0.0282394558170053
RASSF1 3 NA 0.0282394558170053
RTN4IP1 6 NA 0.0282394558170053
FAM219A 9 NA 0.0282394558170053
OGN 9 NA 0.0282394558170053
TMBIM4 12 NA 0.028325747705822
HAS3 16 NA 0.0283260248403414
DDX27 20 NA 0.0283749319870572
SLC18A1 8 NA 0.0283883332004579
IL21R 16 NA 0.0283915177607444
ZNF425 7 NA 0.0284653919522107
TRAV38-1 14 NA 0.0284748950284754
LRIG1 3 NA 0.0284797885989819
C5orf56 5 NA 0.0285060355547341
MRPL23 11 NA 0.0285127547296767
CYP3A7 7 NA 0.0285519621409934
ASB18 2 NA 0.028593834857857
RAB37 17 NA 0.0286040928473494
AGBL5 2 NA 0.0286336092652042
TMEM144 4 NA 0.0286871126163738
SIGLEC10 19 NA 0.0287074079514322
KDM1B 6 NA 0.0287568335988675
ABRA 8 NA 0.0289680898058596
CENPW 6 NA 0.028991334293272
HES4 1 NA 0.029001905390336
TMEM68 8 NA 0.0290332172577539
METTL13 1 NA 0.0291189574895585
PLA2G12A 4 NA 0.0291225569786435
KLK1 19 NA 0.0291855942553692
ADAMTS19 5 NA 0.0292157910344948
CHCHD6 3 NA 0.0293083271046578
FABP12 8 NA 0.0293119139643232
HDAC2 6 NA 0.0293405691257045
HUS1B 6 NA 0.0293602191436482
DUOXA1 15 NA 0.0293659839432151
FBXO39 17 NA 0.0293981966300704
SIPA1L1 14 NA 0.0294499514221223
PIK3IP1 22 NA 0.0297486982089464
WFIKKN1 16 NA 0.0297548211994114
ALDH4A1 1 NA 0.0297672021469289
FLRT2 14 NA 0.029796044049394
FOXJ3 1 NA 0.029832689038536
RGS7 1 NA 0.0298434745362624
LTA4H 12 NA 0.029889242047655
GPA33 1 NA 0.0299565053786263
CDK5RAP2 9 NA 0.0300681710401718
RABGAP1 9 NA 0.0300930507004301
ZNF451 6 NA 0.0301092465463849
HSPA2 14 NA 0.0301790536728962
GMPR 6 NA 0.0302066064085631
SNRPB 20 NA 0.0302190419386696
LRTM2 12 NA 0.0302228723688428
SDF4 1 NA 0.0303006337901132
C5orf52 5 NA 0.030337466293419
C19orf25 19 NA 0.0304023748102441
FCGR2A 1 NA 0.0304044818229373
IDUA 4 NA 0.0304613808486172
PCDHB13 5 NA 0.030539400199767
SLC25A47 14 NA 0.0307196318787861
KDR 4 NA 0.0307196817034764
OR5H2 3 NA 0.0307717883204071
RBM23 14 NA 0.0307807965289483
MUC20 3 NA 0.0308065282446924
FFAR1 19 NA 0.0308191242457211
KRT9 17 NA 0.0308502811841853
ANKRD18A 9 NA 0.0310049519978315
ZFP69B 1 NA 0.0310635973336703
SYNGR4 19 NA 0.0311127471601381
GALNTL5 7 NA 0.0311689787511913
PAICS 4 NA 0.0311920876607643
RASGRP4 19 NA 0.0314803214761259
UTRN 6 NA 0.0315785203861281
BACE2 21 NA 0.031671970519063
IGDCC4 15 NA 0.0318025587130905
SPATA31A6 9 NA 0.0318194454114014
IGHV3-13 14 NA 0.0318628404534057
DENND1B 1 NA 0.0318804894164882
PMM2 16 NA 0.0319192169714831
ADH5 4 NA 0.031979023713854
